ID,Antenna,RSSI,LQ,SNR,PWR,FHSS,PFD,NU
38500,0,-79,100,11,0,13,-3,1
38501,0,-79,100,10,0,13,-1,1
38502,0,-80,100,10,0,13,-2,1
38503,0,-74,100,11,0,23,-3,1
38504,0,-74,100,11,0,23,-3,1
38505,0,-74,100,11,0,23,-2,1
38506,0,-74,100,10,0,23,-1,1
38507,0,-68,100,12,0,47,-4,1
38508,0,-68,100,10,0,47,0,1
38509,0,-68,100,10,0,47,17,1
38510,0,-68,100,12,0,47,-3,1
38511,0,-71,100,11,0,27,-5,1
38512,0,-71,100,11,0,27,0,1
38513,0,-72,100,12,0,27,2,1
38514,0,-71,100,11,0,27,1,1
38612,0,-70,100,11,0,56,-4,1
38613,0,-70,100,10,0,56,-1,1
38614,0,-70,100,10,0,56,-2,1
38615,0,-79,100,11,0,6,-8,1
38616,0,-78,100,12,0,6,-6,1
38617,0,-78,100,12,0,6,-3,1
38618,0,-77,100,10,0,6,-2,1
38619,0,-70,100,11,0,29,-1,1
38620,0,-71,100,10,0,29,-3,1
38621,0,-70,100,10,0,29,14,1
38622,0,-71,100,11,0,29,-1,1
38623,0,-71,100,11,0,54,-1,1
38624,0,-71,100,11,0,54,-1,1
38625,0,-72,100,10,0,54,-1,1
38626,0,-72,100,11,0,54,-4,1
38627,0,-72,100,10,0,50,-2,1
38628,0,-72,100,10,0,50,0,1
38629,0,-72,100,11,0,50,0,1
38630,0,-73,100,11,0,50,1,1
38631,0,-72,100,12,0,43,2,1
38632,0,-72,100,10,0,43,1,1
38633,0,-72,100,11,0,43,2,1
38634,0,-72,100,10,0,43,18,1
38635,0,-72,100,10,0,32,1,1
38636,0,-72,100,11,0,32,-1,1
38637,0,-72,100,10,0,32,-2,1
38638,0,-71,100,11,0,32,-2,1
38639,0,-81,100,10,0,59,-3,1
38640,0,-81,100,10,0,59,-4,1
38641,0,-80,100,12,0,59,-2,1
38642,0,-79,100,11,0,59,0,1
38644,0,-76,99,11,0,1,0,1
38645,0,-76,99,11,0,1,1,1
38646,0,-76,99,11,0,1,21,1
38647,0,-81,99,10,0,39,5,1
38648,0,-82,99,10,0,39,4,1
38649,0,-84,99,10,0,39,3,1
38650,0,-84,99,9,0,39,1,1
38651,0,-81,99,10,0,34,1,1
38652,0,-82,99,10,0,34,-1,1
38653,0,-84,99,11,0,34,-1,1
38654,0,-86,99,10,0,34,0,1
38655,0,-75,99,11,0,12,-2,1
38656,0,-75,99,11,0,12,-2,1
38657,0,-76,99,11,0,12,-1,1
38658,0,-76,99,11,0,12,-1,1
38659,0,-78,99,12,0,7,17,1
38660,0,-78,99,2,0,7,1,1
38661,0,-79,99,12,0,7,2,1
38662,0,-80,99,11,0,7,3,1
38663,0,-81,99,10,0,30,1,1
38664,0,-79,99,11,0,30,1,1
38665,0,-78,99,11,0,30,2,1
38666,0,-78,99,12,0,30,1,1
38667,0,-77,99,10,0,19,-3,1
38668,0,-76,99,11,0,19,0,1
38669,0,-75,99,10,0,19,-5,1
38670,0,-75,99,10,0,19,0,1
38671,0,-66,99,11,0,70,16,1
38672,0,-67,99,11,0,70,1,1
38673,0,-67,99,11,0,70,1,1
38674,0,-66,99,12,0,70,1,1
38675,0,-66,99,10,0,63,0,1
38676,0,-66,99,11,0,63,-1,1
38677,0,-66,99,11,0,63,-3,1
38678,0,-66,99,11,0,63,-3,1
38679,0,-69,99,12,0,26,-4,1
38680,0,-69,99,11,0,26,-2,1
38681,0,-68,99,12,0,26,-3,1
38682,0,-68,99,11,0,26,-1,1
38683,0,-66,99,10,0,44,-1,1
38684,0,-66,99,9,0,44,14,1
38685,0,-66,99,9,0,44,0,1
38686,0,-66,99,10,0,44,1,1
38687,0,-67,99,11,0,42,-1,1
38688,0,-67,99,12,0,42,-1,1
38689,0,-67,99,10,0,42,0,1
38690,0,-67,99,11,0,42,-2,1
38691,0,-69,99,11,0,10,-1,1
38692,0,-68,99,10,0,10,-7,1
38693,0,-68,99,12,0,10,-2,1
38694,0,-68,99,11,0,10,0,1
38695,0,-68,99,12,0,68,0,1
38696,0,-68,99,10,0,68,20,1
38697,0,-68,99,11,0,68,-1,1
38698,0,-68,99,11,0,68,1,1
38699,0,-68,99,10,0,5,0,1
38700,0,-68,99,12,0,5,-2,1
38701,0,-68,99,11,0,5,-2,1
38702,0,-68,99,11,0,5,-2,1
38703,0,-66,99,10,0,77,-2,1
38704,0,-66,99,11,0,77,-2,1
38705,0,-65,99,11,0,77,-2,1
38706,0,-65,99,12,0,77,-5,1
38707,0,-67,99,11,0,17,-1,1
38708,0,-68,99,12,0,17,0,1
38709,0,-68,99,11,0,17,18,1
38710,0,-68,99,11,0,17,-1,1
38711,0,-67,99,11,0,55,1,1
38712,0,-67,99,10,0,55,-1,1
38713,0,-66,99,11,0,55,0,1
38714,0,-66,99,11,0,55,-2,1
38715,0,-68,99,12,0,15,-2,1
38716,0,-68,99,11,0,15,-3,1
38717,0,-69,99,11,0,15,-6,1
38718,0,-69,99,10,0,15,-3,1
38719,0,-67,99,10,0,78,-2,1
38720,0,-67,99,10,0,78,-3,1
38721,0,-67,99,11,0,78,17,1
38722,0,-67,99,11,0,78,-2,1
38723,0,-70,99,11,0,33,0,1
38724,0,-69,99,12,0,33,-2,1
38725,0,-69,99,11,0,33,-2,1
38726,0,-69,99,10,0,33,-1,1
38727,0,-68,99,11,0,60,-2,1
38728,0,-68,99,10,0,60,-2,1
38729,0,-68,99,11,0,60,-3,1
38730,0,-68,99,10,0,60,0,1
38731,0,-70,99,11,0,18,2,1
38732,0,-70,99,11,0,18,2,1
38733,0,-70,99,10,0,18,5,1
38734,0,-70,99,11,0,18,21,1
38735,0,-66,99,10,0,52,4,1
38736,0,-66,99,11,0,52,1,1
38737,0,-66,99,12,0,52,-1,1
38738,0,-68,99,10,0,52,2,1
38739,0,-70,99,11,0,4,-2,1
38740,0,-70,99,11,0,4,0,1
38741,0,-70,99,10,0,4,-1,1
38742,0,-69,99,12,0,4,0,1
38743,0,-67,99,11,0,51,0,1
38744,0,-67,100,11,0,51,0,1
38745,0,-68,100,10,0,51,-2,1
38746,0,-68,100,11,0,51,12,1
38747,0,-68,100,11,0,21,-1,1
38748,0,-68,100,10,0,21,-2,1
38749,0,-68,100,11,0,21,-1,1
38837,0,-77,100,11,0,45,2,1
38838,0,-76,100,11,0,45,1,1
38839,0,-76,100,12,0,45,2,1
38840,0,-75,100,11,0,45,1,1
38841,0,-73,100,11,0,74,0,1
38842,0,-71,100,10,0,74,0,1
38843,0,-70,100,11,0,74,1,1
38844,0,-69,100,10,0,74,17,1
38845,0,-74,100,10,0,1,0,1
38846,0,-74,100,11,0,1,-1,1
38847,0,-73,100,12,0,1,-2,1
38848,0,-73,100,11,0,1,-2,1
38849,0,-69,100,11,0,68,-3,1
38850,0,-68,100,12,0,68,-8,1
38851,0,-67,100,11,0,68,-4,1
38852,0,-67,100,10,0,68,-3,1
38853,0,-71,100,11,0,32,-2,1
38854,0,-71,100,11,0,32,-3,1
38855,0,-71,100,12,0,32,-3,1
38856,0,-71,100,11,0,32,-1,1
38857,0,-64,100,11,0,70,15,1
38858,0,-65,100,10,0,70,0,1
38859,0,-65,100,11,0,70,-2,1
38860,0,-65,100,11,0,70,-1,1
38861,0,-71,100,11,0,34,-2,1
38862,0,-72,100,12,0,34,-3,1
38863,0,-72,100,12,0,34,-3,1
38864,0,-73,100,11,0,34,0,1
38865,0,-63,100,12,0,66,3,1
