File 1,File 2,Lines Matched
../mysql-files/source/1015/22334889aabce (50%),../mysql-files/source/1015/0345799aaabbbbcee (53%),3
../mysql-files/source/1015/0122334556679bdd (57%),../mysql-files/source/1015/01135789999ef (53%),3
../mysql-files/source/1015/0122334556679bdd (57%),../mysql-files/source/1015/0345799aaabbbbcee (53%),3
../mysql-files/source/1015/0334456678bef (50%),../mysql-files/source/1015/223444579ddddef (44%),9
../mysql-files/source/1015/13358999bcce (55%),../mysql-files/source/1015/045567aaeeeef (50%),4
../mysql-files/source/1015/02333457aae (53%),../mysql-files/source/1015/1125799ccdeef (55%),4
../mysql-files/source/1015/02333457aae (53%),../mysql-files/source/1015/02356789aacde (54%),4
../mysql-files/source/1015/02333457aae (53%),../mysql-files/source/1015/0023388abbdef (55%),4
../mysql-files/source/1015/02333457aae (53%),../mysql-files/source/1015/0055abbbccccde (50%),4
../mysql-files/source/1015/001123499abbbc (52%),../mysql-files/source/1015/001237aaeeef (31%),9
../mysql-files/source/1015/001677889cdef (55%),../mysql-files/source/1015/1122445678acdef (53%),2
../mysql-files/source/1015/1245677888abbce (51%),../mysql-files/source/1015/025667aabbcceeeef (47%),4
../mysql-files/source/1015/14456778acef (49%),../mysql-files/source/1015/025667aabbcceeeef (47%),4
../mysql-files/source/1015/45667889af (55%),../mysql-files/source/1015/1122445678acdef (53%),3
../mysql-files/source/1015/23567789bbddeeeffff (53%),../mysql-files/source/1015/001124568bcdf (57%),10
../mysql-files/source/1015/23567789bbddeeeffff (53%),../mysql-files/source/1015/000034aacceee (57%),8
../mysql-files/source/1015/23567789bbddeeeffff (53%),../mysql-files/source/1015/013588aabcdeff (57%),7
../mysql-files/source/1015/3366779abde (57%),../mysql-files/source/1015/23567789bbddeeeffff (53%),10
../mysql-files/source/1015/33455679ccddf (57%),../mysql-files/source/1015/23567789bbddeeeffff (53%),8
../mysql-files/source/1015/0334456678bef (48%),../mysql-files/source/1015/025667aabbcceeeef (47%),4
../mysql-files/source/1015/00344468abbcc (42%),../mysql-files/source/1015/013344556999aeef (47%),10
../mysql-files/source/1015/133555778f (78%),../mysql-files/source/1015/044667aacdf (84%),7
../mysql-files/source/1015/4455666678ad (84%),../mysql-files/source/1015/133555778f (78%),9
../mysql-files/source/1015/01166889abbbbcef (84%),../mysql-files/source/1015/133555778f (78%),7
../mysql-files/source/1015/01245556689aaceef (84%),../mysql-files/source/1015/133555778f (78%),8
../mysql-files/source/1015/011455778aab (42%),../mysql-files/source/1015/001224678bbbcee (54%),3
../mysql-files/source/1015/011455778aab (42%),../mysql-files/source/1015/0111455678aeff (54%),3
../mysql-files/source/1015/035667889aeef (58%),../mysql-files/source/1015/001223458abbbdd (58%),8
../mysql-files/source/1015/013447999def (84%),../mysql-files/source/1015/133555778f (78%),6
../mysql-files/source/1015/023344557899ac (84%),../mysql-files/source/1015/133555778f (78%),7
../mysql-files/source/1015/256679bbccdeef (42%),../mysql-files/source/1015/334556677bbbbcef (45%),3
../mysql-files/source/1015/1336788bf (52%),../mysql-files/source/1015/001266899bdef (47%),3
../mysql-files/source/1015/1336788bf (52%),../mysql-files/source/1015/0357bbcdff (43%),3
../mysql-files/source/1015/001223458abbbdd (57%),../mysql-files/source/1015/22223469abccdef (26%),8
../mysql-files/source/1015/00033335669cff (45%),../mysql-files/source/1015/001266899bdef (47%),3
../mysql-files/source/1015/00033335669cff (45%),../mysql-files/source/1015/0357bbcdff (43%),3
../mysql-files/source/1015/189aaaacddef (50%),../mysql-files/source/1015/001266899bdef (47%),4
../mysql-files/source/1015/189aaaacddef (50%),../mysql-files/source/1015/0357bbcdff (43%),4
../mysql-files/source/1015/345567899acc (35%),../mysql-files/source/1015/12233678ceef (37%),7
../mysql-files/source/1015/02335679abee (48%),../mysql-files/source/1015/1336788bf (52%),3
../mysql-files/source/1015/02335679abee (48%),../mysql-files/source/1015/00033335669cff (45%),3
../mysql-files/source/1015/02335679abee (48%),../mysql-files/source/1015/189aaaacddef (50%),4
../mysql-files/source/1015/0123346889bccdd (37%),../mysql-files/source/1015/334556677bbbbcef (45%),3
../mysql-files/source/1015/0123346889bccdd (37%),../mysql-files/source/1015/256679bbccdeef (42%),3
../mysql-files/source/1015/3344589bbcdddef (37%),../mysql-files/source/1015/1336788bf (52%),4
../mysql-files/source/1015/3344589bbcdddef (37%),../mysql-files/source/1015/00033335669cff (45%),4
../mysql-files/source/1015/3344589bbcdddef (37%),../mysql-files/source/1015/189aaaacddef (50%),4
../mysql-files/source/1015/013344556999aeef (44%),../mysql-files/source/1015/1245677888abbce (48%),3
../mysql-files/source/1015/013344556999aeef (44%),../mysql-files/source/1015/14456778acef (46%),3
../mysql-files/source/1015/222244567cdefff (43%),../mysql-files/source/1015/223444579ddddef (41%),3
../mysql-files/source/1015/00113344578bbbe (33%),../mysql-files/source/1015/1336788bf (52%),3
../mysql-files/source/1015/00113344578bbbe (33%),../mysql-files/source/1015/00033335669cff (45%),3
../mysql-files/source/1015/00113344578bbbe (33%),../mysql-files/source/1015/189aaaacddef (50%),4
../mysql-files/source/1015/0122556677888abbc (40%),../mysql-files/source/1015/025667aabbcceeeef (44%),3
../mysql-files/source/1015/0122556677888abbc (40%),../mysql-files/source/1015/133346779bcdff (37%),3
../mysql-files/source/1015/0122556677888abbc (40%),../mysql-files/source/1015/124567999bcf (50%),3
../mysql-files/source/1015/0122556677888abbc (40%),../mysql-files/source/1015/013344556999aeef (44%),3
../mysql-files/source/1015/0334456678bef (45%),../mysql-files/source/1015/0122556677888abbc (40%),3
../mysql-files/source/1015/13358999bcce (50%),../mysql-files/source/1015/013344556999aeef (44%),3
../mysql-files/source/1015/13358999bcce (50%),../mysql-files/source/1015/0122556677888abbc (40%),3
../mysql-files/source/1015/02333457aae (48%),../mysql-files/source/1015/0444579abbcccdee (50%),3
../mysql-files/source/1015/22223469abccdef (26%),../mysql-files/source/1015/0113477777acceeff (40%),7
